country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
US,"A blend of 88% Cabernet Sauvignon, 7% Cabernet Franc and 5% Petit Verdot, this classically structured red is luxurious in aromas of dried herb, cedar and clove. The palate balances rich fruit and dense oak with underlying freshness and longevity. The tannins are grippy yet seamless, and beginning to smooth out. Best from 2027–2037.",Estate Bottled,96,199,California,Napa Valley,Napa,Virginie Boone,@vboone,Dominus 2017 Estate Bottled Red (Napa Valley),Bordeaux-style Red Blend,Dominus
US,"Strong aromas of cola, roasted meat, incense, black currant and cracked peppercorn kick off this bottling, which includes 1% each of Roussanne and Viognier. A rich black-currant flavor hits the palate first, then come waves of peppercorn and cocoa, all wrapped in lush yet tense tannins. Drink through 2038.",Dirt Worshipper,96,80,California,Central Coast,Central Coast,Matt Kettmann,@mattkettmann,Denner 2018 Dirt Worshipper Syrah (Central Coast),Syrah,Denner
France,"Purity, intensity and sweetness are evident with just one whiff of this wine. Aromas carry touches of blossom, earth and candied tangerine zest. The palate confirm these impressions with its concentrated, luscious body, tingling acid and encompassing sweetness. It's exquisite now, but even decades will not wither this wine's pristine fruit ad intensity.",Séléction de Grains Nobles Schlossberg Grand Cru,96,66,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Kirrenbourg SAS 2018 Séléction de Grains Nobles Schlossberg Grand Cru Pinot Gris (Alsace),Pinot Gris,Kirrenbourg SAS
Spain,"A ripe berry aroma includes hints of raisin, graphite and vanilla. On the palate, this nearly 20-year-old Gran Reserva is still ripe, intense and exhibiting ample oak character. Dark flavors of blackberry and cassis are spiced up like fruitcake, while a powerful finish is full of warmth, vanilla and lingering berry fruit. Drink now–2028.",12 Años Gran Reserva,96,800,Northern Spain,Ribera del Duero,,Michael Schachner,@wineschach,Valduero 2001 12 Años Gran Reserva  (Ribera del Duero),Tempranillo,Valduero
US,"Joyous and aromatically arresting scents of creamy black cherry, black raspberry, licorice and black cardamom grab hold of the nose and don't waver on this bottling. Deep and dark fruit flavors mix with hints of dank herb, tarragon and even cannabis on the palate, where the acidity is penetrating and persistent.",Machado,96,80,California,Sta. Rita Hills,Central Coast,Matt Kettmann,@mattkettmann,Brewer-Clifton 2018 Machado Pinot Noir (Sta. Rita Hills),Pinot Noir,Brewer-Clifton
Italy,"Ripe dark-skinned berry, iris and a whiff of eucalyptus emerge from the glass. Elegantly structured and delicious, the full-bodied palate doles out mature morello cherry, raspberry, white pepper and star anise while polished tannins lend finesse. Drink 2022–2029.",Ovello Vigna Loreto,96,63,Piedmont,Barbaresco,,Kerin O’Keefe,@kerinokeefe,Albino Rocca 2017 Ovello Vigna Loreto  (Barbaresco),Nebbiolo,Albino Rocca
US,"Black-raspberry, smashed slate, damp oregano and light pine-needle aromas all converge on the attention-grabbing nose of this bottling, which marks a return to the Santa Maria Valley for Greg Brewer. Snappy herbal tones, bright acidity and grippy tannins frame the sip, where mushroom and forest-berry flavors mesh into rounded strawberry fruit.",Julia's,96,65,California,Santa Maria Valley,Central Coast,Matt Kettmann,@mattkettmann,Brewer-Clifton 2018 Julia's Pinot Noir (Santa Maria Valley),Pinot Noir,Brewer-Clifton
Italy,"Rose, iris, menthol and mature berry are just some of the aromas you'll find on this stunning, full-bodied wine. On the polished, savory palate, notes of star anise and tobacco accent a core of ripe Marasca cherry while fine-grained tannins offer structure and elegance. Drink 2023–2030.",Ronchi,96,64,Piedmont,Barbaresco,,Kerin O’Keefe,@kerinokeefe,Albino Rocca 2017 Ronchi  (Barbaresco),Nebbiolo,Albino Rocca
Italy,"Compelling aromas of Mediterranean scrub, fragrant purple flowers, wild berries and crushed stone lead the nose in this gorgeous red. On the delicious, elegantly structured palate, polished tannins seamlessly support flavors of juicy black cherry, crushed raspberry, licorice and graphite all while fresh acidity keeps it balanced. Drink 2021–2029.",Contrada Sciaranuova,96,60,Sicily & Sardinia,Etna,,Kerin O’Keefe,@kerinokeefe,Tascante 2017 Contrada Sciaranuova  (Etna),Nerello Mascalese,Tascante
US,"A beautiful and dense shade of dark purple, this intense bottling begins with aromas of elderberry jam and black-currant pie that demand repeated returns on the nose. It's soft and lushly texture on the palate, where cassis, charred wood and peppercorn flavors prove very complex and compelling.",Either Side of the Hill Glenrose Vineyard,96,55,California,Adelaida District,Central Coast,Matt Kettmann,@mattkettmann,Paix Sur Terre 2018 Either Side of the Hill Glenrose Vineyard Syrah (Adelaida District),Syrah,Paix Sur Terre
US,"From a site in cool-climate Freestone, this wine astounds in its firm grasp of crisp tangerine, strawberry and cherry. Elegant, rounded and lengthy, it offers everything one wants in the variety—a mix of cardamom, nutmeg and white pepper, with lasting notes of black tea and forest floor.",Hawk Hill,98,82,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Lynmar Estate 2018 Hawk Hill Pinot Noir (Russian River Valley),Pinot Noir,Lynmar Estate
US,"Earth, flowers and a grip of black fruit pop along a textured, structured core in this remarkable, memorable wine. The oak and tannin integration is high-level, providing a sense of cohesion and elegance throughout.",Monastery,97,73,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Lynmar Estate 2018 Monastery Pinot Noir (Russian River Valley),Pinot Noir,Lynmar Estate
US,"From a two-acre parcel within the producer's estate Quail Hill Vineyard—its coolest point—this wine has a savory entry of black tea, dried herb and compost, an impressive earthiness that persists through a lengthy palate. Along the way, crisp red fruit and a welcome salinity complement each other effortlessly, finishing bright.",Bliss Block,97,82,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Lynmar Estate 2018 Bliss Block Pinot Noir (Russian River Valley),Pinot Noir,Lynmar Estate
US,"Joey Tensley's expertise in rich Syrahs makes a perfect partner to this cool-climate site in the Sta. Rita Hills. Intense aromas of peppercorn, roast lamb, tar and elderberry coulis lead into a dense, viscous and yet enlivening palate, loaded with flavors of spicy cracked pepper and beef yakitori in a blackberry dipping sauce. It only grows more intense with time. Drink now through 2038.",Turner Vineyard,97,42,California,Santa Barbara County,Central Coast,Matt Kettmann,@mattkettmann,Tensley 2018 Turner Vineyard Syrah (Santa Barbara County),Syrah,Tensley
Italy,"Underbrush, wild red berry, new leather and rose aromas are front and center on this fragrant, focused red. Radiant and savory, the taut, chiseled palate delivers juicy red cherry, crushed strawberry, star anise and white pepper alongside firm refined tannins. Hint of blood orange. Loaded with finesse and tension, it's youthfully austere at this stage and shows fantastic aging potential. Drink 2022–2041.",Baron'Ugo,97,80,Tuscany,Toscana,,Kerin O’Keefe,@kerinokeefe,Monteraponi 2016 Baron'Ugo Red (Toscana),Red Blends,Monteraponi
France,"In this wine, a heady nose offers dried lemon zest, lemon oil and chalky hayflower. The luscious body flows with almost viscous intensity, vibrating with lemony freshness and concentration amid the candied, sweet richness of the fruit. It's a high-wire act of compelling intensity. Exquisite and exciting now, the wine has enough concentration, acid and sweetness to outlast us all. Drink by 2050.",Vendanges Tardives Sporen Grand Cru,97,78,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Domaine Bott-Geyl 2015 Vendanges Tardives Sporen Grand Cru Riesling (Alsace),Riesling,Domaine Bott-Geyl
Portugal,"A magnificent wine, hugely rich, dense and with great presence. Produced from a small parcel of 100-year-old vines, it has all the concentration typical of low yield vines. It also has a great complexity from the field blend, giving a rich structure that will let the wine age for many years. Don't touch until 2024.",Vallado Vinha da Granja,97,270,Douro,,,Roger Voss,@vossroger,Quinta do Vallado 2017 Vallado Vinha da Granja Red (Douro),Portuguese Red,Quinta do Vallado
US,"Almost opaque in the glass, this powerful bottling, which includes 2% each of Grenache and Viognier and was aged in mostly new French oak for 23 months and begins with aromas of cassis, cola, black pepper and violet. It's silky smooth on the palate at first, before the tannins stand up to balance the rich flavors of cassis, espresso bean, cola and charred meat, with waves of purple-flower flavors that won't stop. Drink now through 2037.",Hommage A Nos Pairs Reserve,97,98,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Clos Solène 2017 Hommage A Nos Pairs Reserve Syrah (Paso Robles),Syrah,Clos Solène
US,"From a specific block of the estate Quail Hill Vineyard, this wine is robust in oak and tannin, with subtle power and ripe black-cherry fruit. The texture becomes supple and round on the palate, with an enduring richness and salty, spicy character.",Block 10,96,82,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Lynmar Estate 2018 Block 10 Pinot Noir (Russian River Valley),Pinot Noir,Lynmar Estate
US,"Elegant layers of cassis and elderberry liqueur meet with a kick of black cardamom on the nose of this blend of 61% Malbec, 28% Petit Verdot and 11% Cabernet Franc. The tannins are incredibly smooth on the palate, where cassis, cocoa, walnut and espresso flavors play out.",Cuvée Lizzy,96,85,California,Adelaida District,Central Coast,Matt Kettmann,@mattkettmann,Daou 2017 Cuvée Lizzy Red (Adelaida District),Bordeaux-style Red Blend,Daou
US,"A blend of 88% Cabernet Sauvignon, 7% Cabernet Franc and 5% Petit Verdot, this classically structured red is luxurious in aromas of dried herb, cedar and clove. The palate balances rich fruit and dense oak with underlying freshness and longevity. The tannins are grippy yet seamless, and beginning to smooth out. Best from 2027–2037.",Estate Bottled,96,199,California,Napa Valley,Napa,Virginie Boone,@vboone,Dominus 2017 Estate Bottled Red (Napa Valley),Bordeaux-style Red Blend,Dominus
US,"Strong aromas of cola, roasted meat, incense, black currant and cracked peppercorn kick off this bottling, which includes 1% each of Roussanne and Viognier. A rich black-currant flavor hits the palate first, then come waves of peppercorn and cocoa, all wrapped in lush yet tense tannins. Drink through 2038.",Dirt Worshipper,96,80,California,Central Coast,Central Coast,Matt Kettmann,@mattkettmann,Denner 2018 Dirt Worshipper Syrah (Central Coast),Syrah,Denner
France,"Purity, intensity and sweetness are evident with just one whiff of this wine. Aromas carry touches of blossom, earth and candied tangerine zest. The palate confirm these impressions with its concentrated, luscious body, tingling acid and encompassing sweetness. It's exquisite now, but even decades will not wither this wine's pristine fruit ad intensity.",Séléction de Grains Nobles Schlossberg Grand Cru,96,66,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Kirrenbourg SAS 2018 Séléction de Grains Nobles Schlossberg Grand Cru Pinot Gris (Alsace),Pinot Gris,Kirrenbourg SAS
Spain,"A ripe berry aroma includes hints of raisin, graphite and vanilla. On the palate, this nearly 20-year-old Gran Reserva is still ripe, intense and exhibiting ample oak character. Dark flavors of blackberry and cassis are spiced up like fruitcake, while a powerful finish is full of warmth, vanilla and lingering berry fruit. Drink now–2028.",12 Años Gran Reserva,96,800,Northern Spain,Ribera del Duero,,Michael Schachner,@wineschach,Valduero 2001 12 Años Gran Reserva  (Ribera del Duero),Tempranillo,Valduero
US,"Joyous and aromatically arresting scents of creamy black cherry, black raspberry, licorice and black cardamom grab hold of the nose and don't waver on this bottling. Deep and dark fruit flavors mix with hints of dank herb, tarragon and even cannabis on the palate, where the acidity is penetrating and persistent.",Machado,96,80,California,Sta. Rita Hills,Central Coast,Matt Kettmann,@mattkettmann,Brewer-Clifton 2018 Machado Pinot Noir (Sta. Rita Hills),Pinot Noir,Brewer-Clifton
Italy,"Ripe dark-skinned berry, iris and a whiff of eucalyptus emerge from the glass. Elegantly structured and delicious, the full-bodied palate doles out mature morello cherry, raspberry, white pepper and star anise while polished tannins lend finesse. Drink 2022–2029.",Ovello Vigna Loreto,96,63,Piedmont,Barbaresco,,Kerin O’Keefe,@kerinokeefe,Albino Rocca 2017 Ovello Vigna Loreto  (Barbaresco),Nebbiolo,Albino Rocca
US,"Black-raspberry, smashed slate, damp oregano and light pine-needle aromas all converge on the attention-grabbing nose of this bottling, which marks a return to the Santa Maria Valley for Greg Brewer. Snappy herbal tones, bright acidity and grippy tannins frame the sip, where mushroom and forest-berry flavors mesh into rounded strawberry fruit.",Julia's,96,65,California,Santa Maria Valley,Central Coast,Matt Kettmann,@mattkettmann,Brewer-Clifton 2018 Julia's Pinot Noir (Santa Maria Valley),Pinot Noir,Brewer-Clifton
Italy,"Rose, iris, menthol and mature berry are just some of the aromas you'll find on this stunning, full-bodied wine. On the polished, savory palate, notes of star anise and tobacco accent a core of ripe Marasca cherry while fine-grained tannins offer structure and elegance. Drink 2023–2030.",Ronchi,96,64,Piedmont,Barbaresco,,Kerin O’Keefe,@kerinokeefe,Albino Rocca 2017 Ronchi  (Barbaresco),Nebbiolo,Albino Rocca
Italy,"Compelling aromas of Mediterranean scrub, fragrant purple flowers, wild berries and crushed stone lead the nose in this gorgeous red. On the delicious, elegantly structured palate, polished tannins seamlessly support flavors of juicy black cherry, crushed raspberry, licorice and graphite all while fresh acidity keeps it balanced. Drink 2021–2029.",Contrada Sciaranuova,96,60,Sicily & Sardinia,Etna,,Kerin O’Keefe,@kerinokeefe,Tascante 2017 Contrada Sciaranuova  (Etna),Nerello Mascalese,Tascante
US,"A beautiful and dense shade of dark purple, this intense bottling begins with aromas of elderberry jam and black-currant pie that demand repeated returns on the nose. It's soft and lushly texture on the palate, where cassis, charred wood and peppercorn flavors prove very complex and compelling.",Either Side of the Hill Glenrose Vineyard,96,55,California,Adelaida District,Central Coast,Matt Kettmann,@mattkettmann,Paix Sur Terre 2018 Either Side of the Hill Glenrose Vineyard Syrah (Adelaida District),Syrah,Paix Sur Terre
US,"From a site in cool-climate Freestone, this wine astounds in its firm grasp of crisp tangerine, strawberry and cherry. Elegant, rounded and lengthy, it offers everything one wants in the variety—a mix of cardamom, nutmeg and white pepper, with lasting notes of black tea and forest floor.",Hawk Hill,98,82,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Lynmar Estate 2018 Hawk Hill Pinot Noir (Russian River Valley),Pinot Noir,Lynmar Estate
US,"Earth, flowers and a grip of black fruit pop along a textured, structured core in this remarkable, memorable wine. The oak and tannin integration is high-level, providing a sense of cohesion and elegance throughout.",Monastery,97,73,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Lynmar Estate 2018 Monastery Pinot Noir (Russian River Valley),Pinot Noir,Lynmar Estate
US,"From a two-acre parcel within the producer's estate Quail Hill Vineyard—its coolest point—this wine has a savory entry of black tea, dried herb and compost, an impressive earthiness that persists through a lengthy palate. Along the way, crisp red fruit and a welcome salinity complement each other effortlessly, finishing bright.",Bliss Block,97,82,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Lynmar Estate 2018 Bliss Block Pinot Noir (Russian River Valley),Pinot Noir,Lynmar Estate
US,"Joey Tensley's expertise in rich Syrahs makes a perfect partner to this cool-climate site in the Sta. Rita Hills. Intense aromas of peppercorn, roast lamb, tar and elderberry coulis lead into a dense, viscous and yet enlivening palate, loaded with flavors of spicy cracked pepper and beef yakitori in a blackberry dipping sauce. It only grows more intense with time. Drink now through 2038.",Turner Vineyard,97,42,California,Santa Barbara County,Central Coast,Matt Kettmann,@mattkettmann,Tensley 2018 Turner Vineyard Syrah (Santa Barbara County),Syrah,Tensley
Italy,"Underbrush, wild red berry, new leather and rose aromas are front and center on this fragrant, focused red. Radiant and savory, the taut, chiseled palate delivers juicy red cherry, crushed strawberry, star anise and white pepper alongside firm refined tannins. Hint of blood orange. Loaded with finesse and tension, it's youthfully austere at this stage and shows fantastic aging potential. Drink 2022–2041.",Baron'Ugo,97,80,Tuscany,Toscana,,Kerin O’Keefe,@kerinokeefe,Monteraponi 2016 Baron'Ugo Red (Toscana),Red Blends,Monteraponi
France,"In this wine, a heady nose offers dried lemon zest, lemon oil and chalky hayflower. The luscious body flows with almost viscous intensity, vibrating with lemony freshness and concentration amid the candied, sweet richness of the fruit. It's a high-wire act of compelling intensity. Exquisite and exciting now, the wine has enough concentration, acid and sweetness to outlast us all. Drink by 2050.",Vendanges Tardives Sporen Grand Cru,97,78,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Domaine Bott-Geyl 2015 Vendanges Tardives Sporen Grand Cru Riesling (Alsace),Riesling,Domaine Bott-Geyl
Portugal,"A magnificent wine, hugely rich, dense and with great presence. Produced from a small parcel of 100-year-old vines, it has all the concentration typical of low yield vines. It also has a great complexity from the field blend, giving a rich structure that will let the wine age for many years. Don't touch until 2024.",Vallado Vinha da Granja,97,270,Douro,,,Roger Voss,@vossroger,Quinta do Vallado 2017 Vallado Vinha da Granja Red (Douro),Portuguese Red,Quinta do Vallado
US,"Almost opaque in the glass, this powerful bottling, which includes 2% each of Grenache and Viognier and was aged in mostly new French oak for 23 months and begins with aromas of cassis, cola, black pepper and violet. It's silky smooth on the palate at first, before the tannins stand up to balance the rich flavors of cassis, espresso bean, cola and charred meat, with waves of purple-flower flavors that won't stop. Drink now through 2037.",Hommage A Nos Pairs Reserve,97,98,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Clos Solène 2017 Hommage A Nos Pairs Reserve Syrah (Paso Robles),Syrah,Clos Solène
US,"From a specific block of the estate Quail Hill Vineyard, this wine is robust in oak and tannin, with subtle power and ripe black-cherry fruit. The texture becomes supple and round on the palate, with an enduring richness and salty, spicy character.",Block 10,96,82,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Lynmar Estate 2018 Block 10 Pinot Noir (Russian River Valley),Pinot Noir,Lynmar Estate
US,"Elegant layers of cassis and elderberry liqueur meet with a kick of black cardamom on the nose of this blend of 61% Malbec, 28% Petit Verdot and 11% Cabernet Franc. The tannins are incredibly smooth on the palate, where cassis, cocoa, walnut and espresso flavors play out.",Cuvée Lizzy,96,85,California,Adelaida District,Central Coast,Matt Kettmann,@mattkettmann,Daou 2017 Cuvée Lizzy Red (Adelaida District),Bordeaux-style Red Blend,Daou
US,"A blend of 88% Cabernet Sauvignon, 7% Cabernet Franc and 5% Petit Verdot, this classically structured red is luxurious in aromas of dried herb, cedar and clove. The palate balances rich fruit and dense oak with underlying freshness and longevity. The tannins are grippy yet seamless, and beginning to smooth out. Best from 2027–2037.",Estate Bottled,96,199,California,Napa Valley,Napa,Virginie Boone,@vboone,Dominus 2017 Estate Bottled Red (Napa Valley),Bordeaux-style Red Blend,Dominus
US,"Strong aromas of cola, roasted meat, incense, black currant and cracked peppercorn kick off this bottling, which includes 1% each of Roussanne and Viognier. A rich black-currant flavor hits the palate first, then come waves of peppercorn and cocoa, all wrapped in lush yet tense tannins. Drink through 2038.",Dirt Worshipper,96,80,California,Central Coast,Central Coast,Matt Kettmann,@mattkettmann,Denner 2018 Dirt Worshipper Syrah (Central Coast),Syrah,Denner
France,"Purity, intensity and sweetness are evident with just one whiff of this wine. Aromas carry touches of blossom, earth and candied tangerine zest. The palate confirm these impressions with its concentrated, luscious body, tingling acid and encompassing sweetness. It's exquisite now, but even decades will not wither this wine's pristine fruit ad intensity.",Séléction de Grains Nobles Schlossberg Grand Cru,96,66,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Kirrenbourg SAS 2018 Séléction de Grains Nobles Schlossberg Grand Cru Pinot Gris (Alsace),Pinot Gris,Kirrenbourg SAS
Spain,"A ripe berry aroma includes hints of raisin, graphite and vanilla. On the palate, this nearly 20-year-old Gran Reserva is still ripe, intense and exhibiting ample oak character. Dark flavors of blackberry and cassis are spiced up like fruitcake, while a powerful finish is full of warmth, vanilla and lingering berry fruit. Drink now–2028.",12 Años Gran Reserva,96,800,Northern Spain,Ribera del Duero,,Michael Schachner,@wineschach,Valduero 2001 12 Años Gran Reserva  (Ribera del Duero),Tempranillo,Valduero
US,"Joyous and aromatically arresting scents of creamy black cherry, black raspberry, licorice and black cardamom grab hold of the nose and don't waver on this bottling. Deep and dark fruit flavors mix with hints of dank herb, tarragon and even cannabis on the palate, where the acidity is penetrating and persistent.",Machado,96,80,California,Sta. Rita Hills,Central Coast,Matt Kettmann,@mattkettmann,Brewer-Clifton 2018 Machado Pinot Noir (Sta. Rita Hills),Pinot Noir,Brewer-Clifton
Italy,"Ripe dark-skinned berry, iris and a whiff of eucalyptus emerge from the glass. Elegantly structured and delicious, the full-bodied palate doles out mature morello cherry, raspberry, white pepper and star anise while polished tannins lend finesse. Drink 2022–2029.",Ovello Vigna Loreto,96,63,Piedmont,Barbaresco,,Kerin O’Keefe,@kerinokeefe,Albino Rocca 2017 Ovello Vigna Loreto  (Barbaresco),Nebbiolo,Albino Rocca
US,"Black-raspberry, smashed slate, damp oregano and light pine-needle aromas all converge on the attention-grabbing nose of this bottling, which marks a return to the Santa Maria Valley for Greg Brewer. Snappy herbal tones, bright acidity and grippy tannins frame the sip, where mushroom and forest-berry flavors mesh into rounded strawberry fruit.",Julia's,96,65,California,Santa Maria Valley,Central Coast,Matt Kettmann,@mattkettmann,Brewer-Clifton 2018 Julia's Pinot Noir (Santa Maria Valley),Pinot Noir,Brewer-Clifton
Italy,"Rose, iris, menthol and mature berry are just some of the aromas you'll find on this stunning, full-bodied wine. On the polished, savory palate, notes of star anise and tobacco accent a core of ripe Marasca cherry while fine-grained tannins offer structure and elegance. Drink 2023–2030.",Ronchi,96,64,Piedmont,Barbaresco,,Kerin O’Keefe,@kerinokeefe,Albino Rocca 2017 Ronchi  (Barbaresco),Nebbiolo,Albino Rocca
Italy,"Compelling aromas of Mediterranean scrub, fragrant purple flowers, wild berries and crushed stone lead the nose in this gorgeous red. On the delicious, elegantly structured palate, polished tannins seamlessly support flavors of juicy black cherry, crushed raspberry, licorice and graphite all while fresh acidity keeps it balanced. Drink 2021–2029.",Contrada Sciaranuova,96,60,Sicily & Sardinia,Etna,,Kerin O’Keefe,@kerinokeefe,Tascante 2017 Contrada Sciaranuova  (Etna),Nerello Mascalese,Tascante
US,"A beautiful and dense shade of dark purple, this intense bottling begins with aromas of elderberry jam and black-currant pie that demand repeated returns on the nose. It's soft and lushly texture on the palate, where cassis, charred wood and peppercorn flavors prove very complex and compelling.",Either Side of the Hill Glenrose Vineyard,96,55,California,Adelaida District,Central Coast,Matt Kettmann,@mattkettmann,Paix Sur Terre 2018 Either Side of the Hill Glenrose Vineyard Syrah (Adelaida District),Syrah,Paix Sur Terre
